company,industry,size,profit,debt,audit_fee
1,制造业,15.2,0.12,0.45,85
2,制造业,12.8,0.08,0.52,72
3,服务业,8.5,0.15,0.30,55
4,科技业,6.2,0.22,0.15,48
5,制造业,20.1,0.05,0.65,120
6,服务业,4.8,0.10,0.28,35
7,科技业,10.5,0.18,0.20,62
8,制造业,18.3,0.09,0.55,105
9,服务业,3.2,0.06,0.40,25
10,科技业,14.0,0.25,0.12,80
11,制造业,25.0,0.07,0.60,150
12,服务业,6.5,0.12,0.35,42
13,科技业,8.0,0.20,0.18,50
14,制造业,11.0,0.11,0.48,68
15,服务业,7.2,0.09,0.32,45
16,科技业,16.5,0.28,0.10,95
17,制造业,22.0,0.06,0.58,135
18,服务业,4.0,0.08,0.38,30
19,科技业,9.5,0.16,0.22,58
20,制造业,13.5,0.10,0.50,78
